Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,View,Price
1,1340,3,2,2,1955,1,2,0,0,313000
2,3650,5,2,2,1921,2,4,1,4,2384000
3,1930,3,2,1,1966,0,3,0,0,342000
4,2000,3,2,1,1963,3,3,1,0,420000
5,1940,4,2,1,1976,3,3,1,0,550000
6,880,2,1,1,1938,2,2,0,0,490000
7,1350,2,2,1,1976,3,2,0,0,335000
8,2710,4,2,2,1989,1,2,0,0,482000
9,2430,3,2,1,1985,1,3,1,0,452500
10,1520,4,2,2,1945,2,2,0,0,640000
11,1710,3,2,1,1948,2,2,0,0,463000
12,2920,4,2,2,1909,2,4,1,0,1400000
13,2330,3,2,1,1980,3,2,1,0,588500
14,1090,3,1,1,1955,2,3,0,0,365000
15,2910,5,3,2,1939,2,2,0,0,1200000
16,1200,3,2,1,1965,0,3,0,0,242500
17,1570,3,2,1,1956,3,3,0,0,419000
18,3110,4,3,2,1997,0,2,0,0,367500
19,1370,3,2,1,1987,0,2,0,0,257950
20,1180,3,2,1,1983,1,2,0,0,275000
21,2240,3,2,2,1923,2,4,1,0,750000
22,1450,4,1,1,1954,3,3,0,0,435000
23,1750,3,2,2,2005,2,2,1,0,626000
24,2730,4,2,2,1991,2,2,0,0,612500
25,1600,4,2,1,1959,2,2,1,0,495000
26,2090,3,2,1,1987,0,3,1,0,285000
27,2360,3,2,1,1948,2,3,1,0,615000
28,2200,4,2,2,1920,2,4,1,0,698000
29,2820,5,2,2,1979,2,2,0,0,675000
30,2600,3,2,1,1951,2,3,1,0,790000
31,1560,4,2,1,1967,2,3,0,0,382500
32,2860,4,2,2,2004,3,2,1,0,499950
33,1820,4,2,2,1945,2,2,1,1,650000
34,2820,4,2,2,2014,1,2,0,0,625000
35,3630,4,2,2,1979,0,2,1,0,400000
36,3240,3,2,2,1995,0,2,0,2,604000
37,800,2,1,1,1944,2,3,0,0,440000
38,1850,3,3,1,1992,1,3,1,0,287200
39,1960,3,2,1,1957,2,4,1,2,403000
40,2390,3,2,1,1955,2,3,1,2,750000
41,1580,3,2,1,1978,3,3,0,0,335000
42,1480,4,2,1,1974,1,3,0,0,260000
43,850,2,1,1,1950,1,3,0,0,308500
44,1770,3,2,2,1990,2,2,0,0,439950
45,1210,2,1,1,1949,2,1,0,0,235000
46,1160,3,1,1,1968,3,2,0,0,315000
47,1970,3,2,2,1977,2,3,0,0,437500
48,1930,3,2,2,1996,1,2,0,0,407500
49,1270,3,2,3,2001,2,2,0,0,445700
50,3310,4,2,2,2001,3,2,0,0,838000
51,2710,4,3,2,2000,2,2,0,0,630000
52,2910,3,2,2,1979,3,2,0,0,550000
53,2710,3,2,2,1929,2,3,1,0,805000
54,1800,3,2,1,1968,1,2,0,0,284000
55,2210,5,2,1,1976,2,2,1,0,470000
56,1920,4,2,1,1954,3,3,1,0,430000
